Comment,Designator,Footprint,LCSC Part #,Manufacturer Part Number,Qty
100n,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C30,C31,C32,C33,C34,C35,C36,C37,C42,C5,C7,C9",Capacitor_SMD:C_0603_1608Metric,C1853266,CC0603KPX7R8BB104,27
2.2n C0G,C2,Capacitor_SMD:C_0603_1608Metric,C343869,GCM1885C1H222JA16D,1
100n,C38,Capacitor_SMD:C_0402_1005Metric,C1525,CL05B104KO5NNNC,1
33R x4 isolated,"RN1,RN2,RN3,RN4",Resistor_SMD:R_Array_Convex_4x0603,C102663,RTA03-4D330JTP,4
10M16SAE144C8G,U1,Package_QFP:EQFP-144-1EP_20x20mm_P0.5mm_EP4x4mm,C1521931,10M16SAE144C8G,1
ADS5560IRGZT,U2,Package_DFN_QFN:Texas_RGZ0048A_VQFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,C571255,ADS5560IRGZT,1
THS4551IDGKT,U3,Package_SO:VSSOP-8_3x3mm_P0.65mm,C2860660,THS4551IDGKT,1
AP63203WU-7,U4,Package_TO_SOT_SMD:TSOT-23-6_HandSoldering,C780769,AP63203WU-7,1
40.000 MHz CMOS,Y1,Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm_HandSoldering,C1670009,ASE-40.000MHZ-L-C-T,1
