range,gain_v_per_v,baseline_diff_v,overshoot_percent,settling_1pct_us,bandwidth_3db_hz,overload_diff_min_v,overload_diff_max_v,overload_late_residual_mv,estimated_input_current_at_2p7v_ma
0p5x,0.50005765202,0.000567140204,0.00045534749659736917,0.43867656000000005,1647947.9173281288,-1.34959467,0.000567144756,0.0,0.675219446320054
5x,4.9686721175,0.006087199,0.00043970500533951906,0.44125205000000006,1656244.6001779225,-0.521478993,0.00608725647,nan,6.704742984852248
25x,25.3922959375,0.0185878349,0.0003256401083451266,0.4538453900000001,1564136.4064031504,-0.219337654,0.0185880114,nan,34.30749682337993
